State,Year,Population,Latitude,Longitude,Code,income
Wisconsin,2022,5892539,44.5,-89.5,WI,61475
Wyoming,2014,584153,43.07597,-107.290283,WY,56252
Wyoming,2015,586107,43.07597,-107.290283,WY,56122
Wyoming,2016,585501,43.07597,-107.290283,WY,53421
Wyoming,2017,579315,43.07597,-107.290283,WY,56377
Wyoming,2018,577737,43.07597,-107.290283,WY,59195
Wyoming,2019,578759,43.07597,-107.290283,WY,61863
Wyoming,2020,576851,43.07597,-107.290283,WY,65558
Wyoming,2021,578803,43.07597,-107.290283,WY,70522
Wyoming,2022,581381,43.07597,-107.290283,WY,73248
